Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_7days_Max,Year,Month,Day,Peak,DOY
1/1/1979,8.444977,-0.17064871,1.6835277,4.45672829,3.8176,3.8176,,,,,1979,1,1,0,1
1/2/1979,8.570435,-0.41574287,3.7450306,4.33709213,3.8176,7.6352,,,,,1979,1,2,0,2
1/3/1979,8.738646,-1.1085076,0.084750146,3.8125384,3.8176,11.4528,,,,,1979,1,3,0,3
1/4/1979,10.251591,0.9659831,0.31679696,7.3999741,3.8176,15.2704,,,,,1979,1,4,0,4
1/5/1979,10.070813,3.008254,1.8779905,9.261467,3.8176,19.088,,,,,1979,1,5,0,5
1/6/1979,11.22191,0.71992564,0.48794803,8.12423564,3.8176,22.9056,,,,,1979,1,6,0,6
1/7/1979,12.772947,2.9452841,0.11244829,11.9006311,3.8176,26.7232,10.01018843,0.849221094,1.186927461,3.7450306,1979,1,7,0,7
1/8/1979,14.346406,2.3532107,0,12.8820167,3.8176,30.5408,10.85324971,1.209772439,0.946423504,3.7450306,1979,1,8,0,8
1/9/1979,14.7612295,2.0249257,0,12.9685552,3.8176,34.3584,11.73764893,1.558439377,0.411419132,1.8779905,1979,1,9,0,9
1/10/1979,12.611099,2.0174112,0.09862584,10.8109102,3.8176,38.176,12.2908565,2.004999206,0.413401374,1.8779905,1979,1,10,0,10
1/11/1979,8.788145,3.86966,0.78322315,8.840205,8.840205,47.016205,12.08179279,2.419810191,0.480033687,1.8779905,1979,1,11,0,11
1/12/1979,5.8791637,-0.54879576,2.7469172,1.51276794,3.8176,50.833805,11.48298574,1.911660226,0.604166073,2.7469172,1979,1,12,0,12
1/13/1979,4.816103,1.4769249,4.6843467,2.4754279,3.8176,54.651405,10.56787046,2.019802977,1.203651597,4.6843467,1979,1,13,0,13
1/14/1979,6.1571913,0.16322035,4.3865843,2.50281165,3.8176,58.469005,9.6227625,1.622365299,1.814242456,4.6843467,1979,1,14,0,14
1/15/1979,6.58496,-0.3678525,0.30411363,2.3995075,3.8176,62.286605,8.5139845,1.233641984,1.85768726,4.6843467,1979,1,15,0,15
1/16/1979,6.8975368,-1.3818136,1.3364662,1.6981232,3.8176,66.104205,7.390599829,0.746964941,2.048611003,4.6843467,1979,1,16,0,16
1/17/1979,8.79915,-1.6379858,0.97633374,3.3435642,3.8176,69.921805,6.846035686,0.22476537,2.173997846,4.6843467,1979,1,17,0,17
1/18/1979,7.776664,1.7973416,9.350103,5.7564056,3.8176,73.739405,6.7015384,-0.071280116,3.397837824,9.350103,1979,1,18,0,18
1/19/1979,3.7821264,-0.64334285,5.4880533,-0.67881645,3.8176,77.557005,6.401961643,-0.084786843,3.789428696,9.350103,1979,1,19,0,19
1/20/1979,7.1060467,-1.4134455,0.31357655,1.8750012,3.8176,81.374605,6.729096457,-0.4976969,3.16503296,9.350103,1979,1,20,0,20
1/21/1979,8.274791,0.22485866,3.4875457,4.68204966,3.8176,85.192205,7.0316107,-0.488891427,3.036598874,9.350103,1979,1,21,0,21
1/22/1979,6.0092125,-0.003298705,1.4560125,2.188313795,3.8176,89.009805,6.949361057,-0.436812314,3.201155856,9.350103,1979,1,22,0,22
1/23/1979,8.347411,-1.3056533,0.3083535,3.2241577,3.8176,92.827405,7.156485943,-0.425932271,3.054282613,9.350103,1979,1,23,0,23
1/24/1979,10.408986,0.84520394,0.29097518,7.43658994,3.8176,96.645005,7.386462514,-0.071190879,2.956374247,9.350103,1979,1,24,0,24
1/25/1979,11.242435,0.53281397,1.9111153,7.95764897,3.8176,100.462605,7.881572657,-0.251837684,1.893661719,5.4880533,1979,1,25,0,25
1/26/1979,13.196908,2.6652727,1.1995863,12.0445807,3.8176,104.280205,9.226541457,0.220821681,1.281023576,3.4875457,1979,1,26,0,26
1/27/1979,13.881493,2.3873782,0.8623641,12.4512712,3.8176,108.097805,10.19446236,0.763796495,1.359421797,3.4875457,1979,1,27,0,27
1/28/1979,6.2165833,2.735826,0.043116007,5.1348093,3.8176,111.915405,9.900432686,1.122506115,0.867360412,1.9111153,1979,1,28,0,28
1/29/1979,6.4091153,1.4495227,17.206837,4.041038,3.8176,115.733005,9.957561657,1.33005203,3.117478198,17.206837,1979,1,29,0,29
1/30/1979,11.950766,1.4581649,10.877676,9.5913309,3.8176,119.550605,10.47232666,1.724883201,4.627381412,17.206837,1979,1,30,0,30
1/31/1979,10.319458,4.3776813,12.009958,10.8795393,10.8795393,130.4301443,10.45953694,2.229522824,6.301521815,17.206837,1979,1,31,0,31
2/1/1979,9.139787,6.3247056,10.780366,11.6468926,11.6468926,142.0770369,10.15915866,3.056935914,7.56855763,17.206837,1979,2,1,0,32
2/2/1979,5.4558992,-2.1305704,2.2609167,-0.4922712,3.8176,145.8946369,9.053300257,2.371815471,7.720176258,17.206837,1979,2,2,0,33
2/3/1979,8.641972,-2.04279,0.033133503,2.781582,3.8176,149.7122369,8.304797257,1.7389343,7.601714744,17.206837,1979,2,3,0,34
2/4/1979,7.091564,-0.5827764,1.2365187,2.6911876,3.8176,153.5298369,8.4297945,1.264848243,7.772200843,17.206837,1979,2,4,0,35
2/5/1979,5.435207,0.92068934,6.5258017,2.53829634,3.8176,157.3474369,8.290664743,1.18930062,6.246338658,12.009958,1979,2,5,0,36
2/6/1979,7.7467384,1.4849218,14.196108,5.4140602,3.8176,161.1650369,7.690089371,1.193123034,6.720400372,14.196108,1979,2,6,0,37
2/7/1979,8.5894985,1.4731781,1.1115781,6.2450766,3.8176,164.9826369,7.4429523,0.778194006,5.163488958,14.196108,1979,2,7,0,38
2/8/1979,9.502462,-0.83270025,0.7700619,4.85216175,3.8176,168.8002369,7.494763014,-0.244292544,3.733445515,14.196108,1979,2,8,0,39
2/9/1979,10.073032,1.5402341,0.373997,7.7956661,3.8176,172.6178369,8.154353414,0.280108099,3.463885558,14.196108,1979,2,9,0,40
2/10/1979,7.91573,1.4725583,13.46402,5.5706883,3.8176,176.4354369,8.050604557,0.782300713,5.382583629,14.196108,1979,2,10,0,41
2/11/1979,11.547708,4.9145627,1.7704523,12.6446707,12.6446707,189.0801076,8.687196557,1.56763487,5.458859857,14.196108,1979,2,11,0,42
2/12/1979,12.662793,2.085835,0,10.931028,3.8176,192.8977076,9.719708843,1.73408425,4.526602471,14.196108,1979,2,12,0,43
2/13/1979,12.17676,1.7370676,1.9401293,10.0962276,3.8176,196.7153076,10.35256907,1.770105079,2.775748371,13.46402,1979,2,13,0,44
2/14/1979,11.702769,5.8067975,1.1750935,13.6919665,13.6919665,210.4072741,10.797322,2.389193564,2.784822,13.46402,1979,2,14,0,45
2/15/1979,9.698199,3.6005125,0.82518995,9.4811115,3.8176,214.2248741,10.82528443,3.022509671,2.792697436,13.46402,1979,2,15,0,46
2/16/1979,9.665266,0.9508392,0.7631339,6.7985052,3.8176,218.0424741,10.76703214,2.9383104,2.848288421,13.46402,1979,2,16,0,47
2/17/1979,10.123964,1.0333151,2.7119002,7.3396791,3.8176,221.8600741,11.08249414,2.875561371,1.312271307,2.7119002,1979,2,17,0,48
2/18/1979,9.113334,3.3309965,4.7919416,8.6267305,3.8176,225.6776741,10.73472643,2.649337629,1.743912636,4.7919416,1979,2,18,0,49
2/19/1979,10.277024,3.3446105,0.8010728,9.8040345,3.8176,229.4952741,10.39390229,2.8291627,1.858351607,4.7919416,1979,2,19,0,50
2/20/1979,15.396002,-0.6622845,0,10.9161175,3.8176,233.3128741,10.853794,2.486398114,1.581190279,4.7919416,1979,2,20,0,51
2/21/1979,16.283466,7.3956866,1.0896254,19.8615526,19.8615526,253.1744267,11.50817929,2.713382271,1.56898055,4.7919416,1979,2,21,0,52
2/22/1979,14.294404,10.172369,7.9339128,20.649173,20.649173,273.8235997,12.16478,3.652218914,2.584512386,7.9339128,1979,2,22,0,53
2/23/1979,14.172423,9.584926,38.50956,19.939749,19.939749,293.7633487,12.80865957,4.885659886,7.976858971,38.50956,1979,2,23,0,54
2/24/1979,13.410115,10.31011,8.223545,19.902625,19.902625,313.6659737,13.27810971,6.2109163,8.7642368,38.50956,1979,2,24,0,55
2/25/1979,9.680946,6.0465746,5.398039,11.9099206,11.9099206,325.5758943,13.35919714,6.598856029,8.850822143,38.50956,1979,2,25,0,56
2/26/1979,10.959035,4.637148,0.72372234,11.778583,11.778583,337.3544773,13.45662729,6.783504243,8.839772077,38.50956,1979,2,26,0,57
2/27/1979,8.929595,3.4932084,5.0733633,8.6052034,3.8176,341.1720773,12.53285486,7.377146086,9.564538263,38.50956,1979,2,27,0,58
2/28/1979,7.068593,0.06951287,5.670682,3.32050587,3.8176,344.9896773,11.21644443,6.330549839,10.21897492,38.50956,1979,2,28,0,59
3/1/1979,4.866811,0.2845488,8.332842,1.3337598,3.8176,348.8072773,9.869645429,4.918004096,10.27596481,38.50956,1979,3,1,0,60
3/2/1979,5.142954,0.007301684,5.350014,1.332655684,3.8176,352.6248773,8.579721286,3.549772051,5.538886806,8.332842,1979,3,2,0,61
3/3/1979,6.5382714,-1.3729906,1.143374,1.3476808,3.8176,356.4424773,7.598029343,1.880757679,4.527433806,8.332842,1979,3,3,0,62
3/4/1979,6.640044,-0.48043582,1.0498409,2.34200818,3.8176,360.2600773,7.163614771,0.948327619,3.906262649,8.332842,1979,3,4,0,63
3/5/1979,9.508381,0.10327166,0.026057463,5.79405266,3.8176,364.0776773,6.956378486,0.300630999,3.806596238,8.332842,1979,3,5,0,64
3/6/1979,11.543479,1.1453689,0,8.8712479,3.8176,367.8952773,7.329790486,-0.034774644,3.081830052,8.332842,1979,3,6,0,65
3/7/1979,12.032179,1.1925205,0.02330399,9.4070995,3.8176,371.7128773,8.0388742,0.125655018,2.275061765,8.332842,1979,3,7,0,66
3/8/1979,12.551897,3.2338622,0.12710145,11.9681592,3.8176,375.5304773,9.136743629,0.546985503,1.102813115,5.350014,1979,3,8,0,67
3/9/1979,13.248815,1.9075233,0,11.3387383,3.8176,379.3480773,10.29472377,0.818445734,0.3385254,1.143374,1979,3,9,0,68
3/10/1979,9.506499,5.7325306,16.941614,11.4214296,11.4214296,390.7695069,10.71875629,1.833520191,2.595416829,16.941614,1979,3,10,0,69
3/11/1979,7.956103,5.0091987,2.5856063,9.1477017,9.1477017,399.9172086,10.90676471,2.617753694,2.814811886,16.941614,1979,3,11,0,70
