Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_7days_Max,Year,Month,Day,Peak,DOY
1/1/1979,-6.327575,-6.438449,3.062406,-10.883012,4.5,4.5,,,,,1979,1,1,0,1
1/2/1979,-9.470408,-15.393239,2.3217988,-16.9318235,4.5,9,,,,,1979,1,2,0,2
1/3/1979,-5.5446877,-10.405439,2.2599702,-12.47506335,4.5,13.5,,,,,1979,1,3,0,3
1/4/1979,-7.0938835,-13.300232,0.054772776,-14.69705775,4.5,18,,,,,1979,1,4,0,4
1/5/1979,-7.2647743,-13.441622,0.028376197,-14.85319815,4.5,22.5,,,,,1979,1,5,0,5
1/6/1979,-5.6584277,-9.358669,0,-12.00854835,4.5,27,,,,,1979,1,6,0,6
1/7/1979,-2.068101,-8.750173,0,-9.909137,4.5,31.5,-6.2039796,-11.01254614,1.103903425,3.062406,1979,1,7,0,7
1/8/1979,-0.549023,-7.144117,2.1655214,-8.34657,4.5,36,-5.378472171,-11.11335586,0.975777053,2.3217988,1979,1,8,0,8
1/9/1979,1.3353103,-1.8140482,6.2554135,-4.73936895,4.5,40.5,-3.834798129,-9.173471457,1.53772201,6.2554135,1979,1,9,0,9
1/10/1979,1.0581468,-3.6482031,0.51962364,-5.79502815,4.5,45,-2.891536057,-8.208152043,1.289101073,6.2554135,1979,1,10,0,10
1/11/1979,-0.840684,-3.1742456,4.857063,-6.5074648,4.5,49.5,-1.998221843,-6.761582557,1.975142534,6.2554135,1979,1,11,0,11
1/12/1979,-2.1515431,-3.9255157,1.9198138,-7.5385294,4.5,54,-1.267760243,-5.4021388,2.245347906,6.2554135,1979,1,12,0,12
1/13/1979,-3.3921664,-5.173892,1.9737232,-8.7830292,4.5,58.5,-0.944008629,-4.804313514,2.527308363,6.2554135,1979,1,13,0,13
1/14/1979,-3.3377285,-7.311865,0.45025975,-9.82479675,4.5,63,-1.125383986,-4.598840943,2.591631184,6.2554135,1979,1,14,0,14
1/15/1979,-6.214822,-12.1743765,0,-13.69459925,4.5,67.5,-1.934783843,-5.317449443,2.282270984,6.2554135,1979,1,15,0,15
1/16/1979,-7.3640995,-13.508307,0,-14.93620325,4.5,72,-3.177556671,-6.988057843,1.388640484,4.857063,1979,1,16,0,16
