Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_7days_Max,Year,Month,Day,DOY
1/1/1979,7.12352,-10.801419,0,-5.6565495,3.8176,3.8176,,,,,1979,1,1,1
1/2/1979,-4.643539,-6.8061495,0.021242868,-9.54244425,3.8176,7.6352,,,,,1979,1,2,2
1/3/1979,-0.33220246,-4.694662,0,-6.33103223,3.8176,11.4528,,,,,1979,1,3,3
1/4/1979,0.5763455,-2.162188,0,-4.61052125,3.8176,15.2704,,,,,1979,1,4,4
1/5/1979,-0.71773976,-6.3513975,0,-7.35216863,3.8176,19.088,,,,,1979,1,5,5
1/6/1979,0.19623666,-5.406262,0,-6.42261267,3.8176,22.9056,,,,,1979,1,6,6
1/7/1979,-3.546105,-6.483636,0,-8.8324705,3.8176,26.7232,-0.191926294,-6.100816286,0.003034695,0.021242868,1979,1,7,7
1/8/1979,-3.2272563,-7.3641043,0,-9.1132803,3.8176,30.5408,-1.670608623,-5.609771329,0.003034695,0.021242868,1979,1,8,8
1/9/1979,-1.5259129,-4.328611,0,-6.74486195,3.8176,34.3584,-1.225233466,-5.255837257,0,0,1979,1,9,9
1/10/1979,-0.1613199,-3.8068914,15.243759,-5.80170565,3.8176,38.176,-1.200821671,-5.129012886,2.177679857,15.243759,1979,1,10,10
1/11/1979,-0.6848212,-1.9958951,1.3485986,-5.15795815,3.8176,41.9936,-1.380988343,-5.105256757,2.3703368,15.243759,1979,1,11,11
1/12/1979,1.8193809,-1.1571461,4.0247436,-3.4864826,3.8176,45.8112,-1.018542534,-4.363220843,2.945300171,15.243759,1979,1,12,12
1/13/1979,3.328923,-0.4151927,0.87895954,-2.36073485,3.8176,49.6288,-0.571015914,-3.650210943,3.07086582,15.243759,1979,1,13,13
1/14/1979,0.038611785,-1.9149772,0.26206872,-4.755782708,3.8176,53.4464,-0.058913516,-2.9975454,3.108304209,15.243759,1979,1,14,14
1/15/1979,-1.6537176,-3.513025,0,-6.4009713,3.8176,57.264,0.165877726,-2.447391214,3.108304209,15.243759,1979,1,15,15
1/16/1979,-2.172838,-3.9320378,0.48329765,-6.8700379,3.8176,61.0816,0.073459855,-2.3907379,3.17734673,15.243759,1979,1,16,16
1/17/1979,0.12762247,-2.5790799,1.1838413,-5.043328715,3.8176,64.8992,0.114737336,-2.215336257,1.168787059,4.0247436,1979,1,17,17
1/18/1979,3.0370164,-1.3668467,0.13600072,-2.98251515,3.8176,68.7168,0.646428422,-2.1254722,0.99555879,4.0247436,1979,1,18,18
1/19/1979,2.765358,0.85491616,6.8543153,-2.00746292,3.8176,72.5344,0.781568008,-1.838034734,1.399783319,6.8543153,1979,1,19,19
1/20/1979,5.7929573,2.0015743,14.667073,0.0796658,3.8176,76.352,1.133572908,-1.492782306,3.369513813,14.667073,1979,1,20,20
1/21/1979,6.9497185,2.3246243,1.0812513,0.8195714,3.8176,80.1696,2.120873867,-0.887124949,3.486539896,14.667073,1979,1,21,21
1/22/1979,1.9623342,0.20636117,0.062943704,-2.733252315,3.8176,83.9872,2.637452696,-0.355784067,3.495531853,14.667073,1979,1,22,22
1/23/1979,2.316054,-0.27745268,0.9195504,-2.79829934,3.8176,87.8048,3.278722981,0.166299521,3.557853675,14.667073,1979,1,23,23
1/24/1979,2.4288282,-1.0789145,2.793918,-3.14264315,3.8176,91.6224,3.607466657,0.380608864,3.787864632,14.667073,1979,1,24,24
1/25/1979,0.82451653,-2.2025142,0,-4.506598835,3.8176,95.44,3.291395247,0.261227793,3.768435958,14.667073,1979,1,25,25
1/26/1979,-0.07414403,-2.8117676,1.8520244,-5.260555815,3.8176,99.2576,2.8857521,-0.262584173,3.053822972,14.667073,1979,1,26,26
1/27/1979,0.22783314,-2.138385,4.827555,-4.77287593,3.8176,103.0752,2.090734363,-0.85400693,1.648177543,4.827555,1979,1,27,27
1/28/1979,2.487398,-2.1976256,0.039214596,-3.6727138,3.8176,106.8928,1.453260006,-1.50004263,1.499315157,4.827555,1979,1,28,28
1/29/1979,0.36490554,-5.1935253,0,-6.23190988,3.8176,110.7104,1.225055911,-2.271454983,1.490323199,4.827555,1979,1,29,29
1/30/1979,-0.58808124,-6.2956734,0,-7.25947732,3.8176,114.528,0.810179449,-3.1312008,1.358958857,4.827555,1979,1,30,30
