Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_days_Max,Year,Month,Day,Peak,DOY,Stage,Stage_1,Stage_2,Stage_3,Stage_4,Stage_5
1/1/1979,11.875446,4.9665413,8.483463,4.60339365,4.60339365,4.60339365,,,,,1979,1,1,0,1,,0,0,0,0,0
1/2/1979,14.692731,11.665937,35.10119,9.361734,9.361734,13.96512765,,,,,1979,1,2,0,2,,0,0,0,0,0
1/3/1979,-0.42322528,-8.083265,1.6044285,-8.07084514,3.8176,17.78272765,,,,,1979,1,3,0,3,,0,0,0,0,0
1/4/1979,-1.0511487,-12.2804785,0,-10.4834136,3.8176,21.60032765,,,,,1979,1,4,0,4,,0,0,0,0,0
1/5/1979,0.7654452,-6.0461555,0.17781642,-6.45795515,3.8176,25.41792765,,,,,1979,1,5,0,5,,0,0,0,0,0
1/6/1979,3.8569787,-0.14304388,1.6110929,-1.96063259,3.8176,29.23552765,4.952704487,-1.653410763,7.829665137,35.10119,1979,1,6,0,6,,0,0,0,0,0
1/7/1979,6.3845506,1.3614341,12.167455,0.05539235,3.8176,33.05312765,5.157253931,-1.22271864,8.449349403,35.10119,1979,1,7,0,7,,0,0,0,0,0
1/8/1979,9.015586,2.6810105,10.580933,2.03069825,3.8176,36.87072765,4.748702503,-1.54922304,8.748987974,35.10119,1979,1,8,0,8,,0,0,0,0,0
1/9/1979,4.7018743,-5.366877,0.04997275,-4.15010135,3.8176,40.68832765,3.32143726,-3.982482183,3.741671224,12.167455,1979,1,9,0,9,,0,0,0,0,0
1/10/1979,-0.77406406,-8.861383,0,-8.63532353,3.8176,44.50592765,3.271317434,-4.093641897,3.512467153,12.167455,1979,1,10,0,10,,0,0,0,0,0
1/11/1979,-0.6132052,-6.0098495,0,-7.12912735,3.8176,48.32352765,3.333880791,-3.197837754,3.512467153,12.167455,1979,1,11,0,11,,0,0,0,0,0
