,location,lat,long,alt,year,month,bloom_date,bloom_doy,AGDD_Bloom,AGDD_Mar_13,DOY_Mar_13,winter_avg_daily_temp,winter_avg_tmax,winter_avg_tmin,spring_avg_daily_temp,spring_avg_tmax,spring_avg_tmin,dec_avg_daily_temp,dec_avg_tmax,dec_avg_tmin,jan_avg_daily_temp,jan_avg_tmax,jan_avg_tmin,feb_avg_daily_temp,feb_avg_tmax,feb_avg_tmin
0,liestal,47.4814,7.730519,350,1980,4,1980-04-13,104,430.0721301,326.5948962,73,1.4525145899999998,4.011867108681319,-1.1068379286813186,4.522737507419355,8.091771216129032,0.9537037987096775,2.7691038079032255,5.232136155161291,0.3060714606451614,-1.4665189891935484,0.4966122477419355,-3.429650226129032,3.1654723555172417,6.465127806896551,-0.13418309586206892
1,liestal,47.4814,7.730519,350,1981,4,1981-04-02,92,481.6351102,319.9893577,70,-2.069739119414773,0.6289652011931819,-4.768443440022727,6.611613401612903,10.330374838709679,2.892851964516129,-1.6200042386612903,1.272909851451613,-4.512918328774194,-2.855102961034483,-0.6374218134482759,-5.07278410862069,-1.75424733,1.2276416035714284,-4.736136263571429
2,liestal,47.4814,7.730519,350,1982,4,1982-04-18,108,442.9370578,318.8058301,72,-0.08512676892777779,2.0307125858555555,-2.2009661237111113,3.625363794435484,7.490382587096774,-0.23965499822580646,0.11360002249999998,1.9289776766129032,-1.7017776316129032,-0.40360509435483877,1.2471278754838708,-2.0543380641935483,0.04745528657142855,3.0108878789999998,-2.915977305857143
3,liestal,47.4814,7.730519,350,1983,4,1983-04-11,101,490.9486365,314.2725547,72,1.0535403874444444,3.3202902033333337,-1.2132094284444443,5.142896579032258,9.324473638709676,0.9613195193548387,2.603455567419355,4.434049460000001,0.7728616748387096,2.005488717903226,4.16556993483871,-0.15459249903225805,-1.7163799276785716,1.1513541807142857,-4.584114036071428
4,liestal,47.4814,7.730519,350,1984,4,1984-04-19,110,430.9764709,324.0,73,0.2760623064277778,2.5844927079444444,-2.0323680950888887,2.1300788224677416,6.7295089165483875,-2.4693512716129034,0.5706625338709678,2.9773625164516124,-1.8360374487096773,0.5351585378666667,2.7515535536666667,-1.6812364779333333,-0.30688576232758613,1.9917068653448278,-2.60547839
5,liestal,47.4814,7.730519,350,1985,4,1985-04-16,106,531.67097,281.7210456,71,-1.3359600066768291,1.187233003292683,-3.8591530166463412,3.1955403936290323,6.53882756516129,-0.14774677790322582,1.3392297652419356,3.026692436451613,-0.3482329059677419,-4.914416531666666,-2.3440111125,-7.484821950833333,-1.2266239448148146,2.2141447199999997,-4.66739260962963
6,liestal,47.4814,7.730519,350,1986,5,1986-05-01,121,500.3093343,319.5,72,-0.5688600972134832,1.9150689147191011,-3.052789109146067,2.645644993166667,6.891578632000001,-1.6002886456666667,2.3819980012258064,5.245717590322581,-0.48172158787096775,0.6150826385,2.9637800433333337,-1.7336147663333332,-5.104391637321428,-2.8960540425,-7.312729232142857
7,liestal,47.4814,7.730519,350,1987,4,1987-04-22,112,381.9569107,318.2313787,72,-0.7138536168,1.1318329157777778,-2.559540149377778,1.934857223983871,5.117451249999999,-1.247736802032258,1.2862317438064517,3.163548767096774,-0.5910852794838709,-4.15434775516129,-2.403802592580645,-5.904892917741935,0.8808846728571428,2.7968868217857143,-1.0351174760714286
8,liestal,47.4814,7.730519,350,1988,4,1988-04-17,108,471.9465182,321.7752988,73,2.2506395551813188,4.562758947252747,-0.061479836890109885,3.3189419885483873,6.139615789032258,0.4982681880645162,1.9534136156451614,3.4723102783870967,0.43451695290322584,3.180328147096774,5.57626329032258,0.7843930038709678,1.5745587888448276,4.645009778275862,-1.495892200586207
9,liestal,47.4814,7.730519,350,1989,3,1989-03-28,87,418.9010293,318.6776375,72,2.160325944205556,4.242321096522223,0.07833079188888886,7.597056655209678,12.948753596774193,2.2453597136451613,2.7644122553225805,4.537647037419355,0.9911774732258064,1.1334706152741936,3.1236146466774195,-0.8566734161290323,2.6283916425,5.153920945714286,0.1028623392857143
10,liestal,47.4814,7.730519,350,1990,3,1990-03-16,75,450.3950047,321.0443308,72,2.4157589971999998,5.415878322777778,-0.5843603283777777,6.901079147048387,11.921620051612903,1.880538242483871,1.5974138970967742,3.9073108877419354,-0.7124830935483871,0.29268030461290323,2.476667042903226,-1.8913064336774195,5.672335339107143,10.340204757142857,1.0044659210714284
11,liestal,47.4814,7.730519,350,1991,4,1991-04-04,94,455.9902911,325.5477384,72,-0.4921602354611111,2.0832436825555556,-3.067564153477778,6.558422906774193,10.448241222580645,2.668604590967742,-0.023273505693548368,1.8266241087096775,-1.873171120096774,0.7536651962903227,2.605009092258064,-1.0976786996774193,-2.3905915571428573,1.7896893642857141,-6.570872478571429
12,liestal,47.4814,7.730519,350,1992,4,1992-04-11,102,361.7428164,325.3260283,73,-0.19341030041758242,2.417068283197802,-2.803888884032967,5.382304871290323,9.873244074193549,0.8913656683870967,-0.6073910901451613,1.184046197451613,-2.3988283777419355,-1.3276495788225806,1.1317783241935484,-3.7870774818387094,1.4615835655172416,5.109057020689655,-2.1858898896551726
13,liestal,47.4814,7.730519,350,1993,4,1993-04-11,101,403.2458296,322.9150585,72,0.9722401431666666,3.2497478440000003,-1.3052675576666666,3.9539748497903227,8.97113833516129,-1.063188635580645,0.7772543238709677,2.2512321758064515,-0.6967235280645161,2.512119430967742,5.3767535967741935,-0.35251473483870965,-0.5167490541071429,2.0003481075,-3.0338462157142856
14,liestal,47.4814,7.730519,350,1994,3,1994-03-23,82,494.4399823,320.2806085,72,2.6565533758055553,5.011442528277778,0.30166422333333337,8.73533308903226,12.700076467741935,4.7705897103225805,3.3693381412903225,5.550960387096774,1.187715895483871,2.38896237983871,4.370109162258065,0.4078155974193548,2.163660273839286,5.124166839821428,-0.7968462921428571
15,liestal,47.4814,7.730519,350,1995,4,1995-04-03,93,362.8348105,316.9082367,72,2.0998732398666666,4.507625566000001,-0.30787908626666666,2.676628280967742,6.400848790322581,-1.0475922283870969,2.824113170903226,4.621866665483871,1.0263596763225806,-1.1740239998387096,1.312599787419355,-3.6606477870967744,4.922708117321428,7.918494317857143,1.9269219167857141
16,liestal,47.4814,7.730519,350,1996,4,1996-04-18,109,405.1919602,328.5,73,-0.18339523527472532,1.7796464880769232,-2.146436958626374,2.4052670532258067,6.547863230967742,-1.737329124516129,-0.03530586483870972,1.6247586180645162,-1.6953703477419355,0.7107781880645162,2.3897175112903226,-0.9681611351612903,-1.297538221724138,1.293071393275862,-3.888147836724138
17,liestal,47.4814,7.730519,350,1997,3,1997-03-22,81,484.4173889,322.4875807,72,0.47250615967222226,2.766576391777778,-1.8215640724333333,6.388782462580646,10.974433496774193,1.8031314283870967,-0.36184673159677416,1.4413585529032258,-2.1650520160967743,-1.354941002419355,0.25948756612903223,-2.969369570967742,3.4194990758928574,7.009487341785714,-0.17048918999999998
18,liestal,47.4814,7.730519,350,1998,3,1998-03-31,90,417.3688078,320.292417,72,1.6638170071055556,4.452986748888889,-1.1253527346777779,3.980784367,7.976347626666667,-0.014778892666666632,1.4533628955322582,3.2201384122580645,-0.31341262119354835,0.82053724,3.0764710412903225,-1.4353965612903228,2.8304509442142853,7.341925512142857,-1.6810236237142855
19,liestal,47.4814,7.730519,350,1999,4,1999-04-04,94,411.8685547,320.2616742,72,-0.2930964759555556,2.140269027088889,-2.7264619789999998,4.398182806129032,8.11543689032258,0.6809287219354839,-0.20846806706451615,2.191803630709677,-2.60873976483871,0.8684267767096775,3.2375618127741936,-1.5007082593548386,-1.6727643869642856,0.8683529889285715,-4.2138817628571426
20,liestal,47.4814,7.730519,350,2000,4,2000-04-01,92,396.3809959,326.3685547,73,0.9935827681483517,3.3548473037142856,-1.3676817674175823,4.629305650483871,8.317227545161291,0.9413837558064516,1.1132762622580645,3.3190356561290324,-1.0924831316129031,-0.6897347573709677,1.2464978373548388,-2.6259673520967746,2.665042939655172,5.646881597931034,-0.3167957186206896
21,liestal,47.4814,7.730519,350,2001,3,2001-03-30,89,343.3833406,318.4087293,72,1.9797765684666668,4.6205031246,-0.6609499876666667,5.758597386129032,8.60509204516129,2.9121027270967743,3.229710563548387,5.4747409941935485,0.9846801329032258,0.6907441387096775,2.9964971606451614,-1.6150088832258065,2.0230641211428573,5.472746371928571,-1.4266181296428573
22,liestal,47.4814,7.730519,350,2002,3,2002-03-18,77,418.7791513,320.8833406,72,0.8358213299277777,3.393864597,-1.7222219371444447,5.551761580806452,10.183363793548386,0.9201593680645163,-1.1189925688064517,0.9105115067741936,-3.1484966443870968,-0.07505484462903228,2.7401181896774194,-2.8902278789354843,4.008549625357142,6.867081897857142,1.150017352857143
23,liestal,47.4814,7.730519,350,2003,4,2003-04-02,92,407.6921664,322.6998213,72,-0.10997373762222222,2.026740628322222,-2.2466881035666666,6.052337054064516,11.772259309677418,0.33241479845161287,2.9627564663064514,4.322171646645161,1.6033412859677418,-0.7571629773064517,1.0137560568709678,-2.528082011483871,-2.795394090892857,0.606889205,-6.197677386785714
24,liestal,47.4814,7.730519,350,2004,4,2004-04-01,92,435.9931065,320.9524699,73,0.44844942712087915,3.1202635447912086,-2.2233646905494506,2.9978251498387096,7.09551973,-1.0998694303225807,0.7905103704838711,3.488223837096774,-1.9072030961290323,-0.2054681630645162,1.7327107267741935,-2.1436470529032254,0.7818134288965518,4.210172796413794,-2.6465459386206898
25,liestal,47.4814,7.730519,350,2005,4,2005-04-05,95,504.5616586,324.0,72,-0.7342209517611111,1.4311008044777778,-2.8995427080000002,3.8909223948387095,8.64970520451613,-0.8678604148387097,0.4965824174677419,2.127130339451613,-1.133965504516129,-0.4459153717741935,1.9465681996774196,-2.8383989432258065,-2.416091574107143,0.08980063178571429,-4.92198378
26,liestal,47.4814,7.730519,350,2006,4,2006-04-21,111,409.5676506,324.0,72,-1.4471313615888888,0.680442419888889,-3.5747051430666663,1.9237898314516129,5.258304771935484,-1.410725109032258,-1.520031163064516,0.3532986564516129,-3.3933609825806452,-2.0088993978387095,0.20396358354838715,-4.221762379225806,-0.7444633983928571,1.5701674410714286,-3.059094237857143
27,liestal,47.4814,7.730519,350,2007,4,2007-04-04,94,393.0618124,310.5676506,72,3.140578557617977,5.800190102471911,0.4809670127640449,4.514954808145161,8.749349365741935,0.28056025054838707,2.3313997150000003,4.479773163870967,0.18302626612903228,3.3827036217258066,5.703798630322581,1.0616086131290323,3.7916403033148147,7.426896055555556,0.15638455107407406
28,liestal,47.4814,7.730519,350,2008,3,2008-03-29,89,454.269197,322.5528161,73,1.7213543741208792,4.805426123956043,-1.3627173757142856,3.30188438,6.623032879677419,-0.019264119677419356,0.27454013564516133,2.053677213548387,-1.5045969422580645,2.1904385669354838,5.26854919032258,-0.887672056451613,2.7665140781034485,7.251888233103449,-1.7188600768965516
29,liestal,47.4814,7.730519,350,2009,4,2009-04-10,100,443.0675355,324.0,72,-1.2165864421555557,0.9836361313222223,-3.4168090156333335,3.107959253548387,6.614115402580645,-0.39819689548387094,-0.38028487833870966,1.5021544104838709,-2.2627241671612905,-2.477685445419355,-0.5494642218064516,-4.405906669032258,-0.7462749913392858,2.1069234275,-3.5994734101785713
